Country,Cost_GHG [Euro per tonnes CO2eq],Cost_NOx [Euro per tonne],Cost_PM2.5 [Euro per tonne],Cost_PM10 [Euro per tonne],Cost_SOx [Euro per tonne],Cost_NMVOC [Euro per tonne],Cost_NH3 [Euro per tonne],Cost_Pb [Euro per kg],Cost_Cd [Euro per kg],Cost_Hg [Euro per kg],Cost_As [Euro per kg],Cost_Ni [Euro per kg],Cost_Cr [Euro per kg]
Belgium,105,67427,512037,332491,159275,7953,162801,32531,185175,16903,11044,24,3129
Bulgaria,105,39770,309647,201070,46368,2791,58106,32531,185175,16903,11044,24,3129
Czechia,105,49118,282451,183409,71277,8138,131699,32531,185175,16903,11044,24,3129
Denmark,105,25320,124113,80593,54274,1483,25524,32531,185175,16903,11044,24,3129
Germany,105,74688,266647,173147,116457,5720,90548,32531,185175,16903,11044,24,3129
Estonia,105,7116,26735,17360,6789,508,15020,32531,185175,16903,11044,24,3129
Ireland,105,29855,50219,32609,77934,1779,15632,32531,185175,16903,11044,24,3129
Greece,105,26670,145705,94614,36550,3480,41129,32531,185175,16903,11044,24,3129
Spain,105,42135,201671,130955,71915,3611,22806,32531,185175,16903,11044,24,3129
France,105,63655,208191,135189,111252,6209,42588,32531,185175,16903,11044,24,3129
Croatia,105,59833,192306,124874,79013,5231,59914,32531,185175,16903,11044,24,3129
Italy,105,108205,592650,384838,93754,15642,93026,32531,185175,16903,11044,24,3129
Cyprus,105,15126,48390,31422,18211,889,14690,32531,185175,16903,11044,24,3129
Latvia,105,19176,98627,64043,28699,665,17100,32531,185175,16903,11044,24,3129
Lithuania,105,18399,62144,40353,25598,647,20560,32531,185175,16903,11044,24,3129
Luxembourg,105,71957,247472,160696,150219,4640,82776,32531,185175,16903,11044,24,3129
Hungary,105,68921,261548,169836,77634,4795,74316,32531,185175,16903,11044,24,3129
Malta,105,7158,150194,97529,17076,2486,87032,32531,185175,16903,11044,24,3129
Netherlands,105,79400,294599,191298,135753,6051,112156,32531,185175,16903,11044,24,3129
Austria,105,75781,227195,147529,113124,8226,75613,32531,185175,16903,11044,24,3129
Poland,105,27011,129265,83938,42598,3070,70606,32531,185175,16903,11044,24,3129
Portugal,105,31431,234012,151956,35284,2221,25361,32531,185175,16903,11044,24,3129
Romania,105,52412,217324,141119,61831,3748,48662,32531,185175,16903,11044,24,3129
Slovenia,105,84406,373078,242259,93509,10127,80401,32531,185175,16903,11044,24,3129
Slovakia,105,50306,233434,151580,60571,5753,104309,32531,185175,16903,11044,24,3129
Finland,105,14520,65365,42445,17104,634,13649,32531,185175,16903,11044,24,3129
Sweden,105,18625,53538,34765,20187,932,17421,32531,185175,16903,11044,24,3129
Norway,105,16865.64706,56741,36845,15510.52941,1117,9684,32531,185175,16903,11044,24,3129
Switzerland,105,143134.2577,306655,199126,232060.8763,12280.68085,65004,32531,185175,16903,11044,24,3129
United Kingdom,105,55633,268250,174188,117414,4722,102606,32531,185175,16903,11044,24,3129
