iso3,patience,risktaking,posrecip,negrecip,altruism,trust
AFG,-0.20136012,0.12076426,0.2896409,0.25471246,0.16645546,0.3159644
DZA,0.059815247,0.39153048,-0.59825534,0.2549008,-0.009968001,-0.17737062
ARG,-0.22930798,0.04150317,0.15967931,-0.14045727,0.027346682,-0.20673333
AUS,0.65700376,0.13713655,0.06966002,0.022189751,0.15533145,0.29897258
AUT,0.608285,-0.061829153,0.1610466,-0.05541545,-0.03536313,0.15462811
BGD,0.08113671,-0.19806775,0.15436757,0.11328817,0.90646327,-0.17336532
BOL,0.071331106,0.10303829,0.10791961,-0.0037352182,-0.0051868833,-0.16032963
BIH,-0.24725771,-0.12563907,0.09646286,0.4293549,-0.11530996,-0.19310626
BWA,0.23399034,0.6973792,-0.2586675,-0.1727222,-0.14206204,-0.33846158
BRA,-0.2600402,-0.2505968,0.3512382,-0.20162958,0.46435976,-0.0026891388
KHM,-0.119899035,-0.40463993,0.17168301,-0.06205157,-0.21615699,-0.07913504
CMR,-0.42749417,-0.5350593,0.15297563,-0.3245351,0.14826119,-0.53091615
CAN,0.71847945,0.18354815,0.1967963,0.022899142,0.22933844,0.24527504
CHL,-0.15540831,0.1253722,0.024950547,-0.12846585,-0.105835356,-0.0832141
CHN,0.39810467,-0.019810122,0.4793372,0.025847053,0.5048251,0.5528058
COL,-0.34593233,-0.045174524,0.19964258,-0.3092087,0.0958736,0.0055465335
CRI,-0.16306733,0.0016722156,0.14475521,-0.4337829,0.41820866,-0.14910293
HRV,-0.09371346,0.068436384,0.18859911,0.7389079,-0.070946634,0.10511626
CZE,0.3843513,-0.020464402,-0.30193788,0.2903363,-0.93961686,-0.45068413
EGY,-0.3831945,-0.2808962,0.5699845,0.034835815,0.63414615,0.6090209
EST,0.025314417,-0.29543343,-0.49283144,-0.22173999,-0.566689,0.08612612
FIN,0.5995542,-0.28276014,0.0885966,-0.13623562,-0.2500972,0.09990701
FRA,0.35687107,-0.030104645,-0.12234953,0.5280535,-0.174711,-0.16548221
GEO,-0.48542792,-0.08132492,0.5627527,-0.25436422,0.62781996,-0.20484574
DEU,0.6243982,-0.044485882,-0.07986503,-0.29426524,-0.051002067,-0.11882253
GHA,0.08461896,0.6184504,-0.22070853,-0.07418407,0.11105221,-0.19801778
GRC,-0.3600854,-0.15707357,-0.04377335,0.429323,-0.17281643,-0.3515055
GTM,-0.25725538,-0.21859027,-0.06493174,-0.48931202,-0.13400403,-0.36296293
HTI,-0.37565595,0.019328011,-0.6985161,0.23038714,-0.5228543,-0.15751432
HUN,-0.43091628,-0.49845642,-0.06583016,-0.16624628,-0.5908813,0.5321655
IND,-0.108732834,-0.2752474,-0.4538296,0.07119843,-0.26762176,-0.20398138
IDN,-0.3618209,-0.3216432,0.14521286,0.15127298,0.10292665,0.26359722
IRN,-0.38071907,0.33788,0.55093294,0.11850627,0.59049654,0.30047
IRQ,-0.41695645,0.16578853,-0.28882602,0.09443917,-0.23216479,0.28961954
ISR,0.45680538,0.24376138,-0.009948548,0.19927368,-0.32634467,-0.05366052
ITA,0.10848816,-0.09364677,0.17641944,0.3112793,0.34591156,-0.07473386
JPN,0.108412586,-0.3558383,-0.23702188,0.22034328,-0.24104115,-0.5187299
JOR,-0.4184762,-0.12480165,0.28744587,-0.31515983,0.15912074,0.38980365
KAZ,-0.25865525,0.24510741,0.3076663,-0.20160872,0.17297222,0.15293807
KEN,-0.07622269,0.2439042,-0.318495,-0.09605418,-0.31699398,-0.42230323
LTU,-0.061742526,-0.045938365,-0.5316876,0.05420713,-0.7299575,-0.17750166
MWI,-0.045587365,0.47503826,0.023893518,-0.4046911,-0.08846745,-0.4734359
MEX,-0.108428106,-0.13891679,-1.0379812,-0.11464946,-0.8130887,-0.3570721
MDA,0.1950139,-0.034774207,0.20627499,0.49489963,0.18736821,0.0011756669
MAR,-0.31072527,-0.068959214,0.55314094,-0.4875911,0.5590382,-0.09031475
NLD,0.9517078,0.18932624,-0.14840142,0.41444093,-0.19006243,0.29805693
NIC,-0.61252034,-0.5472273,-0.41596606,-0.3882536,-0.17819156,0.022988806
NGA,-0.20041943,0.3859835,-0.37476322,0.17650473,-0.14435506,-0.057804402
PAK,-0.08310799,0.019619443,-0.022444665,0.1599657,-0.27611402,-0.10337088
PER,-0.10892991,0.15494472,-0.086826205,0.029011851,-0.13272074,-0.0969185
PHL,0.099112764,0.29464763,0.2124793,-0.15014693,0.38086686,0.35706308
POL,0.07167225,-0.073571,-0.163956,0.2965291,-0.37012252,-0.14705054
PRT,-0.31163776,-0.79243463,0.18640624,-0.37548226,0.04926777,0.08258697
ROU,-0.26815102,-0.22955099,-0.11751875,-0.3820179,-0.23912187,-0.21704744
RUS,-0.07527795,-0.3233624,-0.09340507,-0.15547128,-0.06924083,-0.15077487
RWA,-0.60603017,-0.28969413,-0.57998246,-0.059325397,-0.14198996,-0.12548469
SAU,0.20012197,0.6957462,-0.48707733,0.5995556,-0.37126616,0.30015314
SRB,-0.1378207,-0.12961876,0.37641996,-0.04390066,-0.3164179,-0.16020425
ZAF,0.05791203,0.9705963,-0.834181,0.02678331,-0.32110974,-0.16691782
KOR,0.36924976,-0.03935208,-0.16840631,0.66479355,0.3936174,-0.09921464
ESP,0.19847375,-0.15840179,0.31589085,0.17693989,-0.12915435,0.2410433
LKA,-0.10092623,0.06270595,0.26989344,-0.1172701,0.5115964,-0.27219585
SUR,0.0067194686,0.17821327,0.16491938,0.015116077,0.09016276,0.116364576
SWE,1.0714524,0.051853307,-0.027697507,-0.09452005,-0.16685829,0.30693087
CHE,0.6697421,-0.019343413,0.12515697,-0.010735603,0.094707355,0.08828393
TZA,-0.32498023,0.49186715,-0.8864571,0.04064846,-0.45671925,-0.14714427
THA,-0.2297256,-0.12358965,0.30432498,0.23695967,-0.14669047,0.3484398
TUR,-0.0473989,0.023427222,-0.44317982,0.51675504,-0.27897453,0.12911025
UGA,-0.2552556,0.16258633,-0.27726883,-0.17409113,-0.28195307,-0.70643896
UKR,-0.18166576,-0.21866788,0.16583692,-0.19130994,-0.122265965,-0.09238698
ARE,-0.09131865,0.086515,0.07319601,0.2219048,0.15418167,0.5071083
GBR,0.5350247,0.04868467,-0.038331732,0.024550388,0.028450366,0.23470205
USA,0.81126213,0.1165868,0.20365003,0.011553643,0.40642887,0.15036696
VEN,-0.22711751,0.24952252,0.04784287,-0.20394811,0.080399625,0.114991404
VNM,0.110499695,-0.008681621,-0.26562613,-0.14012927,-0.15891524,0.14363137
ZWE,-0.23858719,0.5231948,-0.16466387,-0.12766157,-0.040835325,-0.5091331
