Date,Region,Budget,Surplus
12/01/2014,Central,76.728,-53.7096
12/01/2014,East,9.94,3.0814
12/01/2014,South,2625.76,767.7031999999999
19/01/2014,East,189.064,-24.6872
19/01/2014,South,545.94,87.3504
19/01/2014,West,515.469,-316.6676
26/01/2014,Central,429.63,74.6331
26/01/2014,South,1207.028,275.20320000000004
26/01/2014,West,19.3,5.79
02/02/2014,West,623.6659999999999,-13.2304
09/02/2014,West,14.56,5.5328
16/02/2014,Central,393.83,68.4929
16/02/2014,South,1256.22,75.3732
16/02/2014,West,129.568,-24.294
23/02/2014,Central,45.480000000000004,-4.4132
02/03/2014,Central,1436.427,-250.1004
02/03/2014,West,457.568,51.4764
09/03/2014,East,302.45,-199.617
09/03/2014,West,1593.336,58.0035
16/03/2014,East,8.32,2.288
16/03/2014,South,1185.616,290.12080000000003
23/03/2014,East,3265.23,-1124.0239
23/03/2014,South,429.456,25.919400000000003
23/03/2014,West,1623.6819999999998,49.55539999999999
30/03/2014,Central,2202.8630000000003,-55.1838
30/03/2014,East,697.374,-78.0484
30/03/2014,West,246.146,2.4748
06/04/2014,Central,5.47,2.3521
06/04/2014,East,154.764,-36.1116
06/04/2014,South,1303.1680000000001,144.677
06/04/2014,West,778.62,139.6496
13/04/2014,East,172.11,-94.6605
13/04/2014,South,1224.88,318.9168
13/04/2014,West,408.091,-15.6572
20/04/2014,Central,1462.748,-245.7386
20/04/2014,West,323.82,131.1938
27/04/2014,East,585.08,-16.3
27/04/2014,West,2020.57,235.4145
04/05/2014,East,44.92,15.822
04/05/2014,South,613.544,83.18799999999999
04/05/2014,West,12.18,3.8976
11/05/2014,Central,1406.941,-162.7383
11/05/2014,East,1416.535,-11.5787
11/05/2014,West,256.784,32.098
18/05/2014,Central,34.79,10.7849
18/05/2014,East,849.288,-126.2796
18/05/2014,South,310.88,23.316
18/05/2014,West,512.336,38.425200000000004
25/05/2014,Central,147.424,-59.3823
25/05/2014,East,139.86,60.1398
01/06/2014,Central,2717.087,390.56320000000005
01/06/2014,South,22.2,9.102
01/06/2014,West,1083.082,21.530399999999997
08/06/2014,Central,330.479,-249.7729
