Country,Year,CO2_emissions[MtCO2],population[milpeople],CO2_emissions_per_capita[tCO2/person]
France,2017,332.48,67.0,4.962388059701492
France,2018,322.17,67.14,4.798480786416444
France,2019,318.95,67.29,4.739931639173726
France,2020,316.19,67.43,4.689159127984577
France,2021,300.26,67.57,4.44368802723102
France,2022,293.12,67.71,4.329050361837247
France,2023,295.04,67.86,4.347774830533451
France,2024,283.84,68.0,4.174117647058823
Switzerland,2017,47.65,8.4,5.6726190476190474
Switzerland,2018,50.57,8.47,5.970484061393153
Switzerland,2019,43.4,8.54,5.081967213114754
Switzerland,2020,41.24,8.61,4.789779326364692
Switzerland,2021,42.64,8.69,4.906789413118527
Switzerland,2022,29.72,8.76,3.3926940639269407
Switzerland,2023,28.52,8.83,3.229898074745187
Switzerland,2024,32.19,8.9,3.6168539325842692
Germany,2017,774.94,82.8,9.359178743961353
Germany,2018,763.0,82.9,9.203860072376356
Germany,2019,738.32,83.0,8.895421686746987
Germany,2020,717.22,83.1,8.630806257521058
Germany,2021,713.04,83.2,8.570192307692308
Germany,2022,686.01,83.3,8.235414165666267
Germany,2023,668.91,83.4,8.020503597122302
Germany,2024,642.88,83.5,7.699161676646707
