Country,Year,GDP [million Euro],Population,Emissions_GHG [thousand tonnes CO2eq],Emissions_NOx [tonne],Emissions_PM2.5 [tonne],Emissions_PM10 [tonne],Emissions_SOx [tonne],Emissions_NMVOC [tonne],Emissions_NH3 [tonne],Emissions_Pb [tonne],Emissions_Cd [tonne],Emissions_Hg [tonne],Emissions_As [tonne],Emissions_Ni [tonne],Emissions_Cr [tonne]
Belgium,1990,NaN,9947782,142750.63,428830,49270,67570,364540,348240,129730,253,6,6,7,77,36
Bulgaria,1990,NaN,8767308,80468.09,273150,22860,42800,1105720,440600,102130,448,6,3,25,33,21
Czechia,1990,NaN,10362102,189911.77,748990,298500,429020,1754560,566030,170490,318,5,5,70,55,26
Denmark,1990,108898,5135409,77995.13,302240,24600,36300,178040,215360,130770,130,1,3,1,19,6
Germany,1990,1245386,62679035,1268921.81,2850050,235770,375360,5474420,3890840,715080,1900,29,35,86,340,166
Estonia,1990,NaN,1570599,37015.28,80050,25440,63830,274740,66550,21550,207,5,1,19,27,18
Ireland,1990,NaN,3506970,60588.06,170690,32000,47190,182980,144400,109600,158,1,1,2,22,4
Greece,1990,NaN,10120892,101342.74,408730,60900,86590,507090,316590,88560,505,7,2,2,42,6
Spain,1990,NaN,38853227,254106.69,1333690,194820,265650,2038560,1025920,465710,2586,29,11,15,165,28
France,1990,999521.7,NaN,520100.22,2042040,418330,538290,1286970,2884800,663430,4286,20,26,17,286,399
Croatia,1990,NaN,4772556,25444.41,111280,38760,50470,168490,170240,56230,516,1,1,9,17,5
Italy,1990,NaN,56694360,516260.19,2124710,227480,292900,1783600,1993730,466730,4280,11,15,37,114,86
Cyprus,1990,NaN,572655,5278.01,17810,2760,5630,31920,12960,7960,25,0,0,0,6,0
Latvia,1990,NaN,2668140,13607.81,96910,25620,31190,100450,88620,33350,233,1,0,17,15,3
Lithuania,1990,NaN,3693708,42329.61,152720,16100,19360,201570,131030,81830,8,0,1,1,31,3
Luxembourg,1990,NaN,379300,12891.17,40840,16040,16800,16380,27820,5270,19,0,0,Not Available,Not Available,Not Available
Hungary,1990,NaN,10374823,91721.57,247780,58640,86060,829850,307080,135360,816,2,3,4,12,18
Malta,1990,NaN,352430,2591.13,6850,540,790,12540,4430,1910,0,0,0,0,3,0
Netherlands,1990,NaN,14892574,226282.68,661860,57520,80180,196910,606190,345920,338,4,4,1,75,12
Austria,1990,NaN,7644818,66358.61,217350,27070,40810,73700,335530,61840,233,2,2,0,0,0
Poland,1990,NaN,38038403,445640.18,1116850,366040,733810,2613240,791700,503260,546,12,16,145,206,57
Portugal,1990,NaN,9995995,59681.03,252530,70680,96370,317830,247290,77000,570,2,2,3,111,12
Romania,1990,NaN,23211395,222049.93,428800,76720,132360,819310,326120,366320,728,5,4,73,113,25
Slovenia,1990,NaN,1996377,14234.66,73290,13530,15830,202760,64660,23210,42,1,0,1,3,1
Slovakia,1990,NaN,5287663,63320.24,127900,95820,106430,139680,263140,57700,57,2,2,4,7,6
Finland,1990,111394.9,4974383,57740.85,306350,47390,74170,248820,233010,34730,321,7,1,35,78,48
Sweden,1990,NaN,8527039,34850.48,278640,44110,65120,102600,366820,60300,374,2,2,6,29,23
Norway,1990,94339.8,4233116,40889.89,201660,41500,52170,49700,326020,29790,189,2,1,3,0,11
Switzerland,1990,209686.3,6673850,51936.33,144540,16400,25220,36700,304870,68730,380,3,6,Not Available,Not Available,Not Available
United Kingdom,1990,862468.3,57156972,806529.59,3183980,246660,387740,3587190,2974140,317740,2919,26,38,49,334,178
Belgium,1991,NaN,9986975,145936.43,428300,48310,66260,365680,341110,127650,238,6,6,7,82,54
Bulgaria,1991,NaN,8669269,62312.15,208930,19170,37620,959350,408970,101650,237,4,2,17,31,17
Czechia,1991,NaN,10304607,170083.22,713230,233820,343970,1650360,506190,162720,256,4,5,47,46,23
Denmark,1991,112605.4,5146469,88021.18,352280,26000,37810,238700,223620,125910,109,1,3,1,21,6
Germany,1991,1512391.8,79753227,1164710.43,2626710,230170,370550,3976320,3379110,637380,1454,25,30,58,318,139
Estonia,1991,NaN,1567749,34263.58,74390,24420,60610,252290,63560,19490,190,4,1,17,26,16
Ireland,1991,NaN,3520977,61320.33,173160,31700,46810,183190,146020,111590,142,1,1,2,24,4
Greece,1991,NaN,10272691,101198.08,408660,61980,87180,501910,317790,86320,479,7,2,2,44,6
Spain,1991,NaN,38881416,262620.7,1382820,190290,261160,2060950,1028300,454100,1711,28,11,14,182,30
France,1991,1026930.1,58313439,546890.85,2091320,461470,583330,1377460,2909150,663810,2875,20,26,20,313,345
Croatia,1991,NaN,4782179,17569.83,85250,41000,51350,99880,136270,55860,350,1,1,4,13,4
Italy,1991,NaN,56744119,502150.5,2191680,235940,300310,1672390,2063220,472620,3274,12,15,36,112,80
Cyprus,1991,NaN,587141,5785.58,17620,2740,5510,32790,12640,8040,26,0,0,0,6,0
Latvia,1991,NaN,2658161,11293.11,93330,28490,33690,81690,84680,31760,168,1,0,11,11,2
Lithuania,1991,NaN,3701968,44212.41,161600,17150,20610,224880,132860,79690,9,0,1,1,35,3
Luxembourg,1991,NaN,384400,13239.61,46500,15570,16260,16780,29140,5450,18,0,0,Not Available,Not Available,Not Available
Hungary,1991,NaN,10373153,85960.6,217380,57760,84430,832770,269980,111140,712,2,3,4,16,13
Malta,1991,NaN,361908,2443.82,7380,560,790,11150,4650,2160,0,0,0,0,3,0
Netherlands,1991,NaN,15010445,233972.43,650000,55360,76800,183340,569830,359630,282,4,3,1,76,13
Austria,1991,NaN,7710882,65255.47,226850,26770,40490,70720,329840,62690,196,2,2,0,0,0
Poland,1991,NaN,38183160,440590.46,1103030,335850,675100,2532360,840250,442240,544,10,16,105,189,55
Portugal,1991,NaN,9970441,61561.75,266820,72300,101870,308200,249410,77110,626,2,2,3,116,12
Romania,1991,NaN,23192274,177794.6,365440,63900,108440,700120,275000,305320,459,4,3,46,88,19
