Country,Year,GDP [million Euro],Population,Emissions_GHG [thousand tonnes CO2eq],Emissions_NOx [tonne],Emissions_PM2.5 [tonne],Emissions_PM10 [tonne],Emissions_SOx [tonne],Emissions_NMVOC [tonne],Emissions_NH3 [tonne],Emissions_Pb [tonne],Emissions_Cd [tonne],Emissions_Hg [tonne],Emissions_As [tonne],Emissions_Ni [tonne],Emissions_Cr [tonne],Cost_GHG [Euro per tonnes CO2eq],Cost_NOx [Euro per tonne],Cost_PM2.5 [Euro per tonne],Cost_PM10 [Euro per tonne],Cost_SOx [Euro per tonne],Cost_NMVOC [Euro per tonne],Cost_NH3 [Euro per tonne],Cost_Pb [Euro per kg],Cost_Cd [Euro per kg],Cost_Hg [Euro per kg],Cost_As [Euro per kg],Cost_Ni [Euro per kg],Cost_Cr [Euro per kg],GDP per capita,External cost GHG,External cost NOx,External cost PM2.5,External cost PM10,External cost SOx,External cost NMVOC,External cost NH3,External cost Pb,External cost Cd,External cost Hg,External cost As,External cost Ni,External cost Cr,Total external cost,GrDP [million Euro],GrDP per capita [Euro],Share external cost [%]
Belgium,1995,220251.5,10130574.0,151311.86,415990,44400,60940,257720,306530,134540,197,5,3,6,71,32,105,67427.0,512037,332491,159275.0,7953.0,162801,32531,185175,16903,11044,24,3129,21741.26559857319,15887.745299999999,28048.95773,22734.4428,20262.00154,41048.353,2437.83309,21903.24654,6408.607,925.875,50.709,66.264,1.704,100.128,159875.86699999997,60375.63300000003,5959.7445317511165,72.58786750601017
Bulgaria,1995,14512.8,8427418.0,54038.12,181900,19780,43710,1302010,140310,61410,369,4,2,15,28,10,105,39770.0,309647,201070,46368.0,2791.0,58106,32531,185175,16903,11044,24,3129,1722.0932912073424,5674.002600000001,7234.163,6124.81766,8788.7697,60371.59968,391.60521,3568.28946,12003.939,740.7,33.806,165.66,0.672,31.29,105129.31430999999,-90616.51430999998,-10752.583330979902,724.3902920869851
Czechia,1995,46008.4,10333161.0,147738.4,384910,120370,163110,1058970,391100,115180,260,2,4,17,28,17,105,49118.0,282451,183409,71277.0,8138.0,131699,32531,185175,16903,11044,24,3129,4452.500062662335,15512.532,18906.00938,33998.62687,29915.84199,75480.20469,3182.7718,15169.09082,8458.06,370.35,67.612,187.748,0.672,53.193,201302.71254999997,-155294.31254999997,-15028.732500151693,437.5346948600689
Denmark,1995,141441.4,5215718.0,84425.26,290300,24500,36200,145770,212670,109120,26,1,2,1,13,3,105,25320.0,124113,80593,54274.0,1483.0,25524,32531,185175,16903,11044,24,3129,27118.298957113864,8864.6523,7350.396,3040.7685,2917.4666,7911.52098,315.38961,2785.17888,845.806,185.175,33.806,11.044,0.312,9.387,34270.90287,107170.49713,20547.601908308694,24.22975371425905
Germany,1995,1977604.1,81538603.0,1090715.5,2195580,205640,346170,1751450,2340450,612750,682,19,20,9,208,94,105,74688.0,266647,173147,116457.0,5720.0,90548,32531,185175,16903,11044,24,3129,24253.593110983275,114525.1275,163983.47904,54833.28908,59938.29699,203968.61265,13387.374,55483.287,22186.142,3518.325,338.06,99.396,4.992,294.126,692560.50726,1285043.5927400002,15759.941248196272,35.02017958296101
Estonia,1995,2988.1,1448075.0,17281.14,48760,20280,47420,116980,40980,10540,88,2,1,10,11,10,105,7116.0,26735,17360,6789.0,508.0,15020,32531,185175,16903,11044,24,3129,2063.4980922949435,1814.5197,346.97616,542.1858,823.2112,794.17722,20.81784,158.3108,2862.728,370.35,16.903,110.44,0.264,31.29,7892.17372,-4904.07372,-3386.615831362326,264.1201338643285
Ireland,1995,52881.3,3597617.0,65824.21,171480,23270,37450,163210,136300,115560,99,1,1,2,27,5,105,29855.0,50219,32609,77934.0,1779.0,15632,32531,185175,16903,11044,24,3129,14698.97990808916,6911.542050000001,5119.5354,1168.59613,1221.20705,12719.60814,242.4777,1806.43392,3220.569,185.175,16.903,22.088,0.648,15.645,32650.428389999997,20230.871610000006,5623.408942641755,61.74286258091234
Greece,1995,104662.1,10535973.0,106526.69,401920,62350,87690,516570,303400,78390,405,8,2,3,47,7,105,26670.0,145705,94614,36550.0,3480.0,41129,32531,185175,16903,11044,24,3129,9933.785897135462,11185.302450000001,10719.2064,9084.70675,8296.70166,18880.6335,1055.832,3224.10231,13175.055,1481.4,33.806,33.132,1.128,21.903,77192.90907,27469.19093000001,2607.1812190483033,73.75440495652198
Spain,1995,470155.7,39639726.0,295434.41,1355290,175590,251310,1762980,957550,430620,858,22,13,12,192,30,105,42135.0,201671,130955,71915.0,3611.0,22806,32531,185175,16903,11044,24,3129,11860.72022798543,31020.613049999996,57105.14415,35411.41089,32910.30105,126784.7067,3457.71305,9820.71972,27911.598,4073.85,219.739,132.528,4.608,93.87,328946.80160999997,141208.89839000005,3562.3076302293316,69.96550325987752
France,1995,1224717.2,59315139.0,511596.26,1868770,396790,504910,937390,2477580,646960,1458,18,21,17,214,197,105,63655.0,208191,135189,111252.0,6209.0,42588,32531,185175,16903,11044,24,3129,20647.632638945684,53717.6073,118956.55435,82608.10689,68258.27799,104286.51228,15383.29422,27552.73248,47430.198,3333.15,354.963,187.748,5.136,616.413,522690.69351000007,702026.5064899998,11835.536733547904,42.678480673742484
Croatia,1995,17581.4,4658893.0,14321.69,82550,36440,45730,77370,119680,42720,260,1,0,1,14,4,105,59833.0,192306,124874,79013.0,5231.0,59914,32531,185175,16903,11044,24,3129,3773.729081135798,1503.77745,4939.21415,7007.63064,5710.48802,6113.23581,626.04608,2559.52608,8458.06,185.175,0.0,11.044,0.336,12.516,37127.04923000001,-19545.64923000001,-4195.3419471106145,211.1723140933032
Italy,1995,898299.3,56844408.0,509920.43,1988850,225410,288040,1322080,2058670,451560,1996,11,14,28,110,69,105,108205.0,592650,384838,93754.0,15642.0,93026,32531,185175,16903,11044,24,3129,15802.773423201103,53541.64515,215203.51425,133589.2365,110848.73752,123950.28832,32201.71614,42006.82056,64931.876,2036.925,236.642,309.232,2.64,215.901,779075.1744400001,119224.12555999996,2097.376501132705,86.72779489419618
Cyprus,1995,7596.0,645399.0,6703.32,20430,2630,5050,39630,13440,9110,26,0,0,0,7,0,105,15126.0,48390,31422,18211.0,889.0,14690,32531,185175,16903,11044,24,3129,11769.46354115826,703.8486,309.02418,127.2657,158.6811,721.70193,11.94816,133.8259,845.806,0.0,0.0,0.0,0.168,0.0,3012.26957,4583.73043,7102.165373668072,39.65599749868352
Latvia,1995,4137.4,2500580.0,-2265.48,51410,28390,32610,49390,64280,15930,127,1,0,8,8,2,105,19176.0,98627,64043,28699.0,665.0,17100,32531,185175,16903,11044,24,3129,1654.5761383359059,-237.87539999999998,985.83816,2800.02053,2088.44223,1417.44361,42.7462,272.403,4131.437,185.175,0.0,88.352,0.192,6.258,11780.43233,-7643.03233,-3056.503823113038,284.7303216996181
Lithuania,1995,5121.7,3642991.0,17700.86,73820,8040,9720,76790,82550,37630,4,0,0,0,14,1,105,18399.0,62144,40353,25598.0,647.0,20560,32531,185175,16903,11044,24,3129,1405.9052026205939,1858.5903,1358.21418,499.63776,392.23116,1965.67042,53.40985,773.6728,130.124,0.0,0.0,0.0,0.336,3.129,7035.01547,-1913.3154700000005,-525.2045558169099,137.3570390690591
Luxembourg,1995,15946.2,405650.0,9593.98,34960,7970,8650,9240,20910,5770,9,0,0,0,0,0,105,71957.0,247472,160696,150219.0,4640.0,82776,32531,185175,16903,11044,24,3129,39310.242820165164,1007.3679,2515.61672,1972.35184,1390.0204,1388.02356,97.0224,477.61752,292.779,0.0,0.0,0.0,0.0,0.0,9140.799340000001,6805.400659999999,16776.533119684456,57.322743600356205
Hungary,1995,35469.4,10336700.0,71160.02,191980,54170,77780,614210,210450,79940,143,2,2,3,20,12,105,68921.0,261548,169836,77634.0,4795.0,74316,32531,185175,16903,11044,24,3129,3431.4046068861435,7471.802100000001,13231.45358,14168.05516,13209.84408,47683.57914,1009.10775,5940.82104,4651.933,370.35,33.806,33.132,0.48,37.548,107841.91185,-72372.51185000001,-7001.510332117602,304.0421091137713
Malta,1995,2846.6,376433.0,2678.31,9660,850,1110,10480,3560,2140,0,0,0,0,5,0,105,7158.0,150194,97529,17076.0,2486.0,87032,32531,185175,16903,11044,24,3129,7562.036272059038,281.22255,69.14628,127.6649,108.25719,178.95648,8.85016,186.24848,0.0,0.0,0.0,0.0,0.12,0.0,960.4660399999999,1886.1339600000001,5010.5436027128335,33.74081500737722
Netherlands,1995,346000.8,15424122.0,235888.72,563020,44700,61460,136330,433900,218750,155,3,2,1,86,9,105,79400.0,294599,191298,135753.0,6051.0,112156,32531,185175,16903,11044,24,3129,22432.447046256508,24768.3156,44703.788,13168.5753,11757.17508,18507.20649,2625.5289,24534.125,5042.305,555.525,33.806,11.044,2.064,28.161,145737.61937,200263.18063,12983.765340419377,42.1206018512096
Austria,1995,184351.3,7943489.0,66006.6,198140,25590,39230,46800,248200,63350,20,1,1,0,0,0,105,75781.0,227195,147529,113124.0,8226.0,75613,32531,185175,16903,11044,24,3129,23207.849850361723,6930.693000000001,15015.24734,5813.92005,5787.56267,5294.2032,2041.6932,4790.08355,650.62,185.175,16.903,0.0,0.0,0.0,46526.10101000001,137825.19898999998,17350.713142549826,25.237739581982886
Poland,1995,108834.6,38580597.0,427813.88,1078450,258930,462360,2070590,909820,389620,580,11,14,72,174,52,105,27011.0,129265,83938,42598.0,3070.0,70606,32531,185175,16903,11044,24,3129,2820.967233866288,44920.4574,29130.01295,33470.58645,38809.57368,88202.99282,2793.1474,27509.50972,18867.98,2036.925,236.642,795.168,4.176,162.708,286939.8794199999,-178105.2794199999,-4616.446951818809,263.6476629858518
